product_id,product_name,brand_id,category_id,model_year,list_price,quantity
1,Trek 820 - 2016,9,6,2016,379.99,99
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,82
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,69
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,93
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,79
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,79
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,58
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,49
9,Trek Conduit+ - 2016,9,5,2016,2999.99,36
10,Surly Straggler - 2016,8,4,2016,1549,57
11,Surly Straggler 650b - 2016,8,4,2016,1680.99,67
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,68
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,60
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,72
15,Electra Moto 1 - 2016,1,3,2016,529.99,81
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,26
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429,56
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449,41
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449,94
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,61
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,17
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,89
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,97
24,Electra Townie Original 21D - 2016,1,2,2016,549.99,97
25,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99,40
26,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,64
27,Surly Big Dummy Frameset - 2017,8,6,2017,999.99,1
28,Surly Karate Monkey 27.5+ Frameset - 2017,8,6,2017,2499.99,24
29,Trek X-Caliber 8 - 2017,9,6,2017,999.99,62
30,Surly Ice Cream Truck Frameset - 2017,8,6,2017,999.99,64
31,Surly Wednesday - 2017,8,6,2017,1632.99,13
32,Trek Farley Alloy Frameset - 2017,9,6,2017,469.99,71
33,Surly Wednesday Frameset - 2017,8,6,2017,469.99,26
34,Trek Session DH 27.5 Carbon Frameset - 2017,9,6,2017,469.99,20
35,Sun Bicycles Spider 3i - 2017,7,6,2017,832.99,24
36,Surly Troll Frameset - 2017,8,6,2017,832.99,99
37,Haro Flightline One ST - 2017,2,6,2017,379.99,98
38,Haro Flightline Two 26 Plus - 2017,2,6,2017,549.99,32
39,Trek Stache 5 - 2017,9,6,2017,1499.99,77
40,Trek Fuel EX 9.8 29 - 2017,9,6,2017,4999.99,68
41,Haro Shift R3 - 2017,2,6,2017,1469.99,69
42,Trek Fuel EX 5 27.5 Plus - 2017,9,6,2017,2299.99,42
43,Trek Fuel EX 9.8 27.5 Plus - 2017,9,6,2017,5299.99,45
44,Haro SR 1.1 - 2017,2,6,2017,539.99,75
45,Haro SR 1.2 - 2017,2,6,2017,869.99,40
46,Haro SR 1.3 - 2017,2,6,2017,1409.99,23
47,Trek Remedy 9.8 - 2017,9,6,2017,5299.99,80
48,Trek Emonda S 4 - 2017,9,7,2017,1499.99,43
49,Trek Domane SL 6 - 2017,9,7,2017,3499.99,15
50,Trek Silque SLR 7 Women's - 2017,9,7,2017,5999.99,1
51,Trek Silque SLR 8 Women's - 2017,9,7,2017,6499.99,12
52,Surly Steamroller - 2017,8,7,2017,875.99,77
53,Surly Ogre Frameset - 2017,8,7,2017,749.99,43
54,Trek Domane SL Disc Frameset - 2017,9,7,2017,3199.99,55
55,Trek Domane S 6 - 2017,9,7,2017,2699.99,29
56,Trek Domane SLR 6 Disc - 2017,9,7,2017,5499.99,67
57,Trek Emonda S 5 - 2017,9,7,2017,1999.99,88
58,Trek Madone 9.2 - 2017,9,7,2017,4999.99,30
59,Trek Domane S 5 Disc - 2017,9,7,2017,2599.99,98
60,Sun Bicycles ElectroLite - 2017,7,5,2017,1559.99,65
61,Trek Powerfly 8 FS Plus - 2017,9,5,2017,4999.99,90
62,Trek Boone 7 - 2017,9,4,2017,3499.99,49
63,Trek Boone Race Shop Limited - 2017,9,4,2017,3499.99,56
64,Electra Townie Original 7D - 2017,1,3,2017,489.99,49
65,Sun Bicycles Lil Bolt Type-R - 2017,7,3,2017,346.99,79
66,Sun Bicycles Revolutions 24 - 2017,7,3,2017,250.99,6
67,Sun Bicycles Revolutions 24 - Girl's - 2017,7,3,2017,250.99,5
68,Sun Bicycles Cruz 3 - 2017,7,3,2017,449.99,27
69,Sun Bicycles Cruz 7 - 2017,7,3,2017,416.99,62
70,Electra Amsterdam Original 3i - 2015/2017,1,3,2017,659.99,25
